JASSO Scholarship Pamphlet 2025-2026 — Sortable Master List,,,,,,,,,,,,,,,,,,,,
"Source: Japan Student Services Organization (JASSO) Scholarship for International Students in Japan 2025-2026. Use the filter dropdowns on each column to narrow by country, field, age limit, etc. Sections: III = Local Govts, IV = Private Foundations, V = For applicants residing abroad. Sub-entries under one foundation use suffix numbering (e.g., 61-1, 61-2). Qualifier codes: HS=High School, CT=College of Technology, ST=Specialized Training, UJ=Univ Japanese Program, JL=Japanese Lang Institute, JC=Junior College, A=Auditors (Undergrad), U=Undergrad, R=Research Student, P=Professional Degree, M=Master's, D=Doctoral. Selection: D=Document, I=Interview, W=Written exam, O=Others.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Section,No.,Foundation,Scholarship Name,Address / Contact,Inquiry,Application,Qualifier (School Year),Age Limit,Designated Countries/Regions,Designated Schools in Japan,Designated Fields of Study,Plural Grants,Non-Student Visa OK,Additional Requirements,"Contents (¥1,000)",Duration,Application Period,Selection Method,Grantees,Grantees / Applications (Prev Year)
III. Local Govts & Intl Associations,11,"Himeji-shi
姫路市",Foreign Student Scholarship,"Himeji City Office 4-1 Yasuda,
Himeji-city, Hyogo 670-8501
Tel 079-221-2596",S,S,"JC
U
M
D",−,−,"Himeji city, Hyogo",−,Y,N,,30/M,"Up to
graduation/
completion",June,D,3,"3/3
（2024）"
III. Local Govts & Intl Associations,12,"Kato-shi
加東市","Scholarship for Foreign
Students","50 Yashiro, Kato-city, Hyogo 673-
1493
Tel 0795-43-0544 Fax 0795-42-1735
www.city.kato.lg.jp
kokusaikoryu@city.kato.lg.jp","F
・
S","F
・
S","U
M
D",−,−,−,−,N,N,"Students who live
in Kato-city and
participate in the
international activities
in a community",15/M,1y,Apr. -May,D,4,4/4
III. Local Govts & Intl Associations,13,"Kurashiki-shi
倉敷市","Kurashiki City Financial
Aid for Privately Financed
Students","International Affairs Section,
Kurashiki City Office 640
Nishinakashinden, Kurashiki-city,
Okayama 710-8565
Tel 086-426-3015 Fax 086-426-4095
intntnl@city.kurashiki.okayama.jp",S,S,"JC(1)
U(1)",−,−,"Kurashiki city,
Okayama",−,Y,N,"Students
in Kurashiki city",10/M,1y,"depends on
university",D,variable,50/50
III. Local Govts & Intl Associations,14,"Hiroshima International Center
（公財）ひろしま国際センター",Scholarship Programs,"Hiroshima Crystal Plaza 6F 8-18
Nakamachi, Naka-Ku, Hiroshima
730-0037
Tel 082-541-3777 Fax 082-243-2001
General Information 082-541-3888
hic@hiroshima-ic.or.jp",S,S,"CT
JC
U
R
M
D",−,−,Hiroshima pref.,−,N,N,−,30/M,1y,"Apr.-
Mid May",D,About 45,43/84
III. Local Govts & Intl Associations,14-1,"Hiroshima International Center
（公財）ひろしま国際センター","Scholarship for new and
transferring international
students","Hiroshima Crystal Plaza 6F 8-18
Nakamachi, Naka-Ku, Hiroshima
730-0037
Tel 082-541-3777 Fax 082-243-2001
General Information 082-541-3888
hic@hiroshima-ic.or.jp",,,,,,,,,,"Students who have
newly arrived from
overseas or
other prefectures",,6m,"Apr.-
Mid May
Oct.",,10,10/31
III. Local Govts & Intl Associations,15,"Hiroshima Peace Culture
Foundation
（公財）広島平和文化センター",Hiroshima Scholarship,"1-5 Nakajima-cho, Naka-ku,
Hiroshima-city, Hiroshima 730-0811
Tel 082-242-8879 Fax 082-242-7452
internat@pcf.city.hiroshima.jp",F,S,"U
R
M
D
JL
ST
JC",−,−,"Hiroshima city,
Hiroshima",−,N,N,"Hiroshima city
residents",30/M,1y,"Apr.-
Mid May",D,30,30/47
III. Local Govts & Intl Associations,16,"Nankoku-shi
南国市",Nankoku City Scholarship,"2301 Oosoneko, Nankoku-city,
Kochi 783-8501
Tel 088-880-6553
Fax 088-863-1167","F
・
S",S,"CT
U
R
M
D",−,−,Kochi pref.,−,N,N,"Students who live in
Nankoku city",9/M,1y,June,D,3,2/2
,,,,,,,,,,,,,,,,,,,,
III. Local Govts & Intl Associations,18,"Fukuoka City
International Foundation
（公財）福岡よかトピア国際交
流財団","Future Development
Scholarship
for International Students","Fukuoka City International Center
1F, 4-1, Tenyamachi, Hakata-ku,
Fukuoka-city, Fukuoka 812-0025
Tel 092-262-1744 Fax 092-262-2700
www.fcif.or.jp/en/en-money/
international-student-scholarship/","F
・
S",S,"Depend on
individual
scholarship",−,"Dependant
on individual
scholarship","Fukuoka
metropolitan
area","Depend on
individual
scholarship","Y
(Conditional)",N,−,300-500/Y,"１y as a
general
rule(possible
for extension)
Dependant
on individual
scholarship","Apr.-
Mid May","D, I","2
(planned)","4/25
(※only new
applicants)"
III. Local Govts & Intl Associations,18-1,"Fukuoka City
International Foundation
（公財）福岡よかトピア国際交
流財団","Fukuoka City International
Foundation Scholarship","Fukuoka City International Center
1F, 4-1, Tenyamachi, Hakata-ku,
Fukuoka-city, Fukuoka 812-0025
Tel 092-262-1744 Fax 092-262-2700
www.fcif.or.jp/en/en-money/
international-student-scholarship/",,,"U
M",,−,"Kyushu U, Kyushu
Sangyo U, Seinan
Gakuin U, Nakamura
Gakuen U, Fukuoka
U, Fukuoka I of
Technology, Fukuoka
Jo Gakuin U,
Fukuoka Women's
U",−,"Y
（The amount
of Japanese
Government
(MEXT)
Scholarship
including
this
scholarship）",,"・ Students who want
to work in Fukuoka
・ A person who holds
at least N3 of JLPT
or has equivalent to
N3 level
of Japanese ability",600/Y,"Minimum
years
required for
graduation/
completion",,,10,10/18
III. Local Govts & Intl Associations,19,"Kitakyushu
International Association
（公財）北九州国際交流協会","Sekihara Dalian International
Students' Scholarship","COMCITY 3rd fl., 3-15-3 Kurosaki,
Yahatanishi-ward, Kitakyushu-city,
Fukuoka 806-0021
Tel 093-643-5931 Fax 093-643-6466
www.kitaq-koryu.jp/
kia@kitaq-koryu.jp",S,S,"CT(4-5)
JC
U
R
M
D",−,Dalian in China,"Kitakyushu city,
Fukuoka",−,"Y
Single
50/M
One who
lives with
family
100/M",N,,20/M,1y,"Mid May-
Mid June","D, I","3
(planned)",3/4
III. Local Govts & Intl Associations,20,"Kurume Bureau of Tourism
and International Exchange
（公財）久留米観光
コンベンション国際交流協会","Kurume Scholarship for
Foreign Students","Kurumeria 6F 3-11
Mutsumonmachi,
Kurume, Fukuoka 830-0031
Tel 0942-31-1717 Fax 0942-31-3210
http://welcome-kurume.com/
ktie@ktarn.or.jp",F,S,"CT
JC
U
R
M
D",−,−,"Kurume,
Fukuoka",−,N,N,,100/Y,"1y
（Nov.-Dec.)",Oct.,"Selected,
applied
through
School",30,18/18
III. Local Govts & Intl Associations,20-1,"Kurume Bureau of Tourism
and International Exchange
（公財）久留米観光
コンベンション国際交流協会","Kurume Encouragement
Subsidy for Foreign Students","Kurumeria 6F 3-11
Mutsumonmachi,
Kurume, Fukuoka 830-0031
Tel 0942-31-1717 Fax 0942-31-3210
http://welcome-kurume.com/
ktie@ktarn.or.jp",,,"UJ
JL
ST",,,,"Japanese
Language",,,,10/Y,,,,40,40/40
III. Local Govts & Intl Associations,21,"Oita-ken
大分県",Foreign Student Scholarship,"International Policy Division, Oita
Prefectural Government 3-1-1
Ohte-machi, Oita-city, Oita 870-8501
Tel 097-506-2046
a10140@pref.oita.lg.jp",S,S,"CT(4-5)
JC
U
M
D",−,−,Oita pref.,−,N,N,Students living in Oita,30/M,1y,Apr.-May,D,80,80/80
III. Local Govts & Intl Associations,22,"Kagoshima Prefectural
Government
鹿児島県","The Scholarship for Privately
Financed Foreign Students
in Kagoshima","10-1 Kamoike-shimmachi,
Kagoshima-city,Kagoshima 890-8577
Tel 099-286-2306
Fax 099-286-5522
kouryuu@pref.kagoshima.lg.jp",S,S,"CT(4-)
JC
U
M
D",−,−,Kagoshima pref.,−,N,N,"Privately financed
students
living in Kagoshima",20/M,1y,Apr.-May,D,10,"10/18
(2024)"
III. Local Govts & Intl Associations,23,"Satsuma sendai-shi
薩摩川内市","Satsumasendai City
Scholarship
for Foreign Students","3-22 Kanda-cho, Satsumasendai-city,
Kagoshima 895-8650
Tel 0996-23-5111 (ext.5771)
global@city.satsumasendai.lg.jp",S,S,U,−,−,"Satsumasendai
city, Kagoshima",−,Y,N,"Students who will
enroll at a school
in Satsumasendai
for 1 year, and live
in Satsumasendai",10/M,1y,At anytime,D,10,"3/10
（2024）"
IV. Private Foundations,1,"Akebono Foundation
あけぼの財団",,"5F grandir ginza east, 1-8-2 Shintomi,
Chuo-ku, Tokyo 104-0041
Tel 03-6275-2980
https://akebono-foundation.org/
info@akebono-foundation.org",F,F,"HS
CT
JC
U
R
P
M
D","30 or
under","Hungary, Bulgaria,
Romania, Serbia,
Kosovo, North
Macedonia,
Albania,
Montenegro,
Bosnia-
Herzegovina,
Croatia, Moldova,
Ukraine",−,−,"Y
（200/m）",N,−,200/m,2y,"Mar.
June
Sep.
Dec.","D, I, O",3,3/100
IV. Private Foundations,2,"The Asahi Glass Foundation
（公財）旭硝子財団",,"2nd Floor, Science Plaza 5-3,
Yonbancho Chiyoda-ku,
Tokyo 102-0081
Tel +81 3 5275-0620
Fax +81 3 5275-0871
www.af-info.or.jp/en/scholarship/
about.html
scholarship@af-info.or.jp",S,S,"M
D",−,"Thailand,
Indonesia, China,
Korea, Viet Nam","28 designated
universties
(Consult the
international
student adviser)",−,"Y
120/m",Y,,"150/m
Scholarship
to support
overseas
research
activities:
200/y","For the
maximum
of 2y for M
and 3y for D","Apr.
-Early May","D, I",18,−
IV. Private Foundations,3,"The Asian Foundation for
International Scholarship
Interchange
（一財）アジア国際交流奨学財
団",,"1-9-8-2F Kukuchi Amagasaki-city
Hyogo 661-0977
Tel 06-6493-6257
Fax 06-6499-7170
www.asian-foundation.org
info@chuken.org",S,S,U,under 30,Asia,"Consult
the international
student adviser",−,N,N,,60/M,1y,Dec.-Jan.,"D, I, W",Some,2/7
IV. Private Foundations,4,"Atsumi International
Foundation
（公財）渥美国際交流財団",,"3-5-8 Sekiguchi, Bunkyo-ku,
Tokyo 112-0014
Tel 03-3943-7612
Fax 03-3943-1512
www.aisf.or.jp/jp/index.php
atsumifoundation@aisf.or.jp",F,F,"D (final
year)",−,−,"Kanto area
Kinki area",−,"Y
100/M","Y
（No
Restriction）",,250/M,1y,"Sep. 1-
Sep. 30","D, I","18
(Including
Japanese)",16/93
IV. Private Foundations,5,"Iizuka Takeshi Scholarship
Foundation
（公財）飯塚毅育英会",,"Iizuka Takeshi Scholarship
1758 Tsuruta-cho, Utsunomiya-city,
Tochigi 320-8644
Tel 028-649-2121
Fax 028-648-0700
www.iizuka-takeshi-ikuei.or.jp/
itsf@tkc.co.jp",F,S,"U
M
D","29 or
under",−,Tochigi pref.,−,Y,N,,57/M,"Scholarships
are available
while in
university and
can continue
through
graduate
school",Early Oct.,"D, I",5,3/7
IV. Private Foundations,6,"Ichihara International
Scholarship Foundation
（公財）市原国際奨学財団",,"c/o daiitimeiekibiru1F 4-5-27
meieki,
Nakamura-ward, Nagoya-city, Aichi
450-0002
Tel 052-551-1800
Fax 052-551-0202
www.ichihara-isf.or.jp","F
・
S",S,"U
M
D",−,−,Aichi pref.,−,N,N,,50/M,"1y
(paid
every 3 m)","Early July-
Oct. 15",D,20,20/40
IV. Private Foundations,7,"ITO Foundation for
International Education
Exchange
（公財）伊藤国際教育交流財団","Scholarships for Foreign
Students","8F Edo Bldg. 2-3-4 Nihonbashi
honcho,
Chuo-ku, Tokyo 103-0023
Tel 03-3274-6250
Fax 03-3274-6252
www.itofound.or.jp/",F,F,M(1),"Desirably
under 30",−,−,−,N,"Y
Spouse of
Japanese
National",,180/M,Within 2y,Oct. 1-31,"D, I",About 10,10/116
IV. Private Foundations,8,"Iwaki Scholarship Foundation
（公財）岩城留学生奨学会",,"4-8-2 Nihonbashihoncho, Chuo-ku,
Tokyo 103-8403
Tel 03-6627-0234
Fax 03-6627-0244",S,S,"M
D","Desirably
under 30",Asian countries,"About 6
designated
universities in
Kanto region
(Consult the
international
student adviser)","Medical
Sciences,
Pharmaceutics,
Chemistry",N,N,,100/M,2y(Apr.-),"Nov. 1
-Dec. 20","D, I",2-5,3/5
IV. Private Foundations,9,"The Iwatani Naoji Foundation
（公財）岩谷直治記念財団","The Iwatani International
Scholarships","Hibiya Kokusai BLDG. 18F,
Uchisaiwaicho2-2-3, Chiyoda-ku,
Tokyo 100-0011
Tel 03-6225-2400
Fax 03-6910-2980
www.iwatani-foundation.or.jp/
information@iwatani-foundation.
or.jp",Ｆ,Ｆ,M,under 30,"East Asia,
Southeast Asia",−,"Natural
Science",N,N,,"150/M
Other","Within 2y
(Apr.-)",Dec. 1-20,"D, I",About 20,21/258
IV. Private Foundations,10,"Inner Trip Foundation
（公財）インナートリップ
国際交流協会",,"1-9-8 Azabudai, Minato-ku,
Tokyo, 106-0041
Tel 03-3585-2533
Fax 03-5563-2547
www.itf.or.jp
info@itf.or.jp",F,S,U(3-4),"30 or
under","Asia (Southeast
Asia, South Asia,
Central Asia, West
Asia, Mongolia,
Taiwan),
Latin America","Greater Tokyo
Area",−,Y 50/M,N,"University president's
recommendation
Participation in
monthly scholar
gatherings
Smoothly Japanese
communication
skills (JLPT N2 or
equivalent or higher
recommended)",50/M,"2y(April-)
(up to 24m)","Dec. 1
-Feb. 28","D, I",About 8,8/9
IV. Private Foundations,11,"The Urakami Scholarship
Foundation
（公財）浦上奨学会","Scholarship for Asian
Students","Ryobi Limited 762 Mesaki-cho,
Fuchushi,
Hiroshima 726-8628
Tel 0847-41-1140
Fax 0847-41-5111
urakamishougakukai@ryobi-group.
co.jp",S,S,"U
M
D","35 or
under","China(Dalian),
Thailand",Hiroshima U,−,N,N,"School
recommendation
required",100/M,1y,Mar.,"D, I",2,1/1
,,,,,,,,,,,,,,,,,,,,
IV. Private Foundations,12,"SGH Foundation
（公財）SGH 財団",,"9F YASAKA Shijo Karasuma Bldg.,
79 Kankobokocho,
Muromachi Higashi Iru, Shijodori,
Shimogyoward,
Kyoto-city, Kyoto 600-8009
Tel 075-255-9310
Fax 075-255-9311",S,S,U(3),Under 27,"Indonesia,
Singapore,
Malaysia,
Thailand, Brunei,
Cambodia,
Myanmar,
Viet Nam,
Philippines, Laos",−,−,N,N,,120/M,"2y
(Apr.-Mar.)","Feb. 1
-Apr. 17",D,20,25/79
IV. Private Foundations,13,"The Emori Asian Student
Scholarship Foundation
（公財）江守アジア留学生
育英会",,"NICCA CHEMICAL Co., Ltd. 4-23-1
Bunkyo, Fukui-city, Fukui 910-8670
Tel 0776-25-8550
Fax 0776-25-4798",S,S,U(1-4),under 30,Asia,"National and
public universities
in Fukui pref.",−,N,N,"Students who are
already or to be
enrolled in school
as of Apr. 1",70/M,"1y
(Apr.-Mar.)","Apr.-
Mid May","D, I",20〜22,7/8
,,,,,,,,,,,,,,,,,,,,
IV. Private Foundations,15,"Otsuka Toshimi Scholarship
Foundation
（公財）大塚敏美育英奨学財団",,"3-2-27 Otedori, Chuo-ku, Osaka-city
Osaka 540-0021
Tel 06-6105-0870
www.otsukafoundation.org",S,S,"M
D","38 or
under",−,"about 50
designated
universities","Fields directly
related to Human
Health(Medicine,
Dentistry,
Pharmacology,
Engineering),
Business
Administration",N,N,,"2000/Y,
1500/Y,
1000/Y",1y,Oct.-Nov.,"D, I","100
(expected
number)","93
(grantees
2024)"
IV. Private Foundations,16,"Okamoto Scholarship
Foundation
（公財）岡本国際奨学交流財団",,"1-19-11 Midori-cho, Inage-ku,
Chiba-shi, Chiba 263-0023
Tel 043-248-8808
Fax 043-238-4138
www.osf-family.com/
osf-midori1911@coda.ocn.ne.jp",F,F,"D
M
U(3-4)",−,−,Chiba pref.,−,"Y
（50/m）",N,"Residents
of Chiba pref.",80/m,2y,"Mid Dec.-
Jan.","D,I",Not fixed,−
IV. Private Foundations,17,"Odakyu Foundation
（公財）小田急財団","Ando Kinen Syougakukin
Scholarship","2-2 Megumichou, Ebina-city,
Kanagawa 243-0489
Tel 046-236-2577
Fax 046-236-2578
www.odakyu-zaidan.or.jp/
scholarship/index_en.html
o-zaidan@odakyu-dentetsu.co.jp","S
・
F",S,"M
D",−,−,"3 designated
universities
(Contact the
Foundation)",−,Y,N,,30/M,2y,Apr.-May,D,"3
(Designated
Schools)",3/3
IV. Private Foundations,18,"Kajima Ikueikai
（公財）鹿島育英会",,"6-5-11 Akasaka, Minato-ward,
Tokyo 107-8348
Tel 03-5544-1650
Fax 03-5544-1722",S,S,M(1),Under 26,−,"U of Tokyo,
Science Tokyo,
Tohoku U, Kyoto
U, Osaka U,
Waseda U, Tokyo
U of Science,
Tokyo City U","Civil
engineering,
Architectural
engineering,
Science and
engineering",Y,N,"School
recommendation
required",80/M,2y,Apr.,D,8,"8/8
（2024）"
,,,,,,,,,,,,,,,,,,,,
IV. Private Foundations,20,"Kamiyama Scholarship
Foundation
（一財）上山奨学財団",,"4-16-29 Sakae, Naka-ward,
Nagoyacity, Aichi 460-0008
Tel 052-262-5031
Fax 052-262-5036",S,S,"U
M
D",−,−,Aichi pref.,−,Y,N,,200/Y,1y,"Mid Apr.-
May 17","D, I",10,10/35
IV. Private Foundations,21,"Kamei Memorial Foundation
（公財）亀井記念財団",,"3-1-18 Kokubun-cho, Aoba-ward,
Sendai-city, Miyagi 980-8583
Tel 022-264-6239
Fax 022-264-6011
kmfo@kamei.co.jp",S,S,U(3-4),−,−,Miyagi pref.,−,"Y
less than
70/M",N,"Academic advisorʼs
recommendation
required",50/M,"Minimum
years
required for
graduation/
completion",Apr.-May,"D, I",Not fixed,6/6
IV. Private Foundations,22,"Kawanishi Memorial
Shinmaywa Education
Foundation
（公財）川西記念新明和教育財
団",,"1-1 Shinmeiwa-cho, Takarazuka-city,
Hyogo 665-8550
Tel 0798-52-1234
Fax 0798-56-5001",F,S,"M(2)
D(2-)",−,"Asian countries
and
other countries",Hyogo pref.,−,N,N,"School
recommendation
required",50/M,1y,Jan.-Feb.,"D, O",6,5/5
IV. Private Foundations,23,"The Korea Educational
Foundation
（公財）韓国教育財団",,"9F, 2-10-6 Mita, Minato-ward,
Tokyo108-0073
Tel 03-5419-9171
Fax 03-5419-9172
edukofoun1963@kref.or.jp",F,F,"HS
CT",under 30,"Korean, Japanese
majoring in
korean studies",−,−,N,"Y
Permanent
resident","Students with
“Permanent
Residence” visa
from Korea",100/Y,1y,"Apr.-May
(planned)",D,Not fixed,20/42
IV. Private Foundations,24,"The Kambayashi Scholarship
Foundation
（公財）神林留学生奨学会",,"Asia Bunka Kaikan 2-12-13,
Honkomagome, Bunkyo-ku,
Tokyo 113-8642
Tel 03-3946-6236
Fax 03-5981-8445
info@kambayashi-zaidan.or.jp","S
・
F",S,"M
D",−,,"愛知県立芸術大学 茨城大学 お茶の水女子大学
金沢美術工芸大学 京都芸術大学 京都工芸繊維大学
国立音楽大学 国際基督教大学 駒沢大学
信州大学 順天堂大学 女子美術大学
洗足学園音楽大学 多摩美術大学 千葉大学
中央大学 筑波大学 帝京大学
東京大学 東京音楽大学 東京海洋大学
東京科学大学 東京外国語大学 東京経済大学
東京藝術大学 東京造形大学 東京農業大学
東京農工大学 東邦音楽大学 東北工業大学
日本大学 日本女子大学 法政大学
武蔵野音楽大学 武蔵野美術大学 立教大学
早稲田大学",−,N,N,"Recommendation
from the designated
university required",140/M,1y,"Mid Jan.
-Mid Mar.",D,10-15,"11/30
(+
continuation
4)"
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
IV. Private Foundations,25-2,"Kyoritsu International
Foundation
（一財）共立国際交流奨学財団",Young Steel Scholarship,"Ayabe Building 4F, 2-17-3 Sotokanda,
Chiyoda-ward,
Tokyo 101-0021
Tel 03-5295-0205
Fax 03-5295-0206
kif-info@dormy.co.jp",,,"ST
U",,Korea,,,,,,,,,,2,"2
(grantees)"
,,,,,,,,,,,,,,,,,,,,
IV. Private Foundations,27,"Prefectural University
of Kumamoto International
Postgraduate Scholarship
for Research on Mercury
熊本県立大学水銀研究留学生
奨学金",,"3-1-100 Tsukide, Higashi-ku,
Kumamoto, 862-8502
Tel 096-234-6867
Fax 096-234-6967
www.pu-kumamoto.ac.jp
ciee@pu-kumamoto.ac.jp",F,F,D,"35 or
under","People's Republic
of Bangladesh,
Kingdom of
Cambodia,
People's Republic
of China, India,
Republic of
Indonesia,
Republic of
Iraq, Mongolia,
Republic of the
Philippines，
Kingdom of
Thailand，
Taiwan，
Republic of
Kenya，
Republic of
Seychelles，
United Republic
of Tanzania，
Republic of
Kazakhstan，
Kyrgyz Republic，
Federative
Republic of Brazil","Pref. U of
Kumamoto","Environmental
and Symbiotic
Sciences
(Mercury)",N,N,"For more details,
please refer to the
application guidelines.","150/M，
Transportation
to/from Japan,
Entrance Fee，
Tuition, etc",3y,"Early May-
Mid May","D, W, I",2,2/4
IV. Private Foundations,28,"KDDI Foundation
（公財）KDDI 財団",,"3-10-10 Iidabashi, Chiyoda-ku,
Tokyo 102-8460
grant@kddi-foundation.or.jp",S,S,"M
D","35 or
under","Limited to
target countries","43 designated
universities
(contact the
school)","Telecommun-
ications
in the fields of
Law, Politics,
Economics,
Society,
Culture and
Technology",Y 100/M,N,,"Up to
100/ M",6m or 12m,"Aug.
(planned)",D,10,13/32
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
